ID,WORD,POSWX,POSLY,LENGTH,LINE,PAGE,DURATION,AUDIOFILE
1,The,25.20682,82.79483536,34.68544675,1,1,0,1_1
2,Princess,65.44477657,82.79483536,74.33356002,1,1,0.447755,1_2
3,and,145.3308464,82.79483536,32.20189603,1,1,0.238549,1_3
4,the,183.0852523,82.79483536,27.25696915,1,1,0.557188,1_4
5,Pea,215.8947312,82.79483536,38.44181721,1,1,0.513741,1_5
6,A,259.8668837,82.79483536,16.08542582,1,1,0.423583,1_6
7,Short,281.5491685,82.79483536,48.3405408,1,1,0.328707,1_7
8,Story,335.4200445,82.79483536,48.31836623,1,1,0.400907,1_8
9,Once,19.63132,134.0578754,47.10320035,2,1,0.398277,1_9
10,upon,73.837032,134.0578754,44.66399875,2,1,0.498866,1_10
11,a,125.625717,134.0578754,9.940855248,2,1,0.379501,1_11
12,time,142.6690839,134.0578754,39.67472275,2,1,0.546984,1_12
13,there,189.4463182,134.0578754,44.62630199,2,1,0.238549,1_13
14,was,241.1751319,134.0578754,34.7231435,2,1,0.379501,1_14
15,a,283.000787,134.0578754,9.940855248,2,1,0.377732,1_15
16,prince,300.0441539,134.0578754,55.78675804,2,1,0.40839,1_16
17,who,362.9334236,134.0578754,38.44846958,2,1,0.43093,1_17
18,wanted,408.5065794,134.0578754,64.43483644,2,1,0.471791,1_18
19,to,480.0661021,134.0578754,17.37598522,2,1,0.28,1_19
20,marry,504.5667735,134.0578754,53.29655495,2,1,0.520771,1_20
21,a,564.9880147,134.0578754,9.940855248,2,1,0.586576,1_21
22,princess,582.0313816,134.0578754,78.73521018,2,1,0.238549,1_22
23,but,667.8469288,134.0578754,28.58079038,2,1,0.501905,1_23
24,she,703.5080563,134.0578754,29.77821662,2,1,0.447846,1_24
25,would,740.3887846,134.0578754,55.80228024,2,1,0.398277,1_25
26,have,803.315751,134.0578754,42.15827347,2,1,0.371655,1_26
27,to,852.5765361,134.0578754,17.37598522,2,1,0.351791,1_27
28,be,877.0772075,134.0578754,21.10131129,2,1,0.377732,1_28
29,a,905.2810305,134.0578754,9.940855248,2,1,0.431973,1_29
30,real,922.3243974,134.0578754,33.48802051,2,1,0.403311,1_30
31,princess,19.63132,185.3209154,78.63320721,3,1,0.379501,1_31
32,He,105.5355654,185.3209154,26.00632397,3,1,0.377732,1_32
33,travelled,138.8351022,185.3209154,77.94579585,3,1,0.396553,1_33
34,all,224.0962853,185.3209154,22.30095499,3,1,0.368254,1_34
35,over,253.6682785,185.3209154,39.63924345,3,1,0.400907,1_35
36,the,300.6007348,185.3209154,27.24588187,3,1,0.421995,1_36
37,world,335.1398294,185.3209154,52.01043048,3,1,0.383719,1_37
38,to,394.4656472,185.3209154,17.33607101,3,1,0.422857,1_38
39,find,419.1171056,185.3209154,35.91391737,3,1,0.269161,1_39
40,one,462.3464103,185.3209154,37.79875497,3,1,0.269161,1_40
41,but,507.4162035,185.3209154,28.53200635,3,1,0.398277,1_41
42,nowhere,543.219248,185.3209154,76.77497909,3,1,0.238549,1_42
43,could,627.2874399,185.3209154,49.52687976,3,1,0.636145,1_43
44,he,684.129707,185.3209154,21.06139709,3,1,0.597959,1_44
45,get,712.4843168,185.3209154,27.26805643,3,1,0.361043,1_45
46,what,747.0234115,185.3209154,43.36456954,3,1,0.398277,1_46
47,he,797.6590192,185.3209154,21.06139709,3,1,0.400907,1_47
48,wanted,826.2400201,185.3209154,70.05165249,3,1,0.28,1_48
49,There,903.5272316,185.3209154,52.05477959,3,1,0.442358,1_49
50,were,19.63132,236.9665154,43.37787427,4,1,0.293469,1_50
51,princesses,69.93430932,236.9665154,91.71398014,4,1,0.377732,1_51
52,enough,168.5734045,236.9665154,71.33777697,4,1,0.402948,1_52
53,but,246.814122,236.9665154,28.58079038,4,1,0.355057,1_53
54,it,282.2978529,236.9665154,12.4532329,4,1,0.345578,1_54
55,was,301.6540263,236.9665154,34.7231435,4,1,0.59161,1_55
56,difficult,343.3022848,236.9665154,71.92762026,4,1,0.353243,1_56
57,to,422.1328456,236.9665154,17.37598522,4,1,0.238549,1_57
58,find,446.4561204,236.9665154,35.97157123,4,1,0.238549,1_58
59,out,489.3749813,236.9665154,28.58079038,4,1,0.416054,1_59
60,whether,524.8587121,236.9665154,71.89214097,4,1,0.377732,1_60
61,they,603.6759682,236.9665154,38.43294739,4,1,0.40839,1_61
62,were,649.0562052,236.9665154,43.37787427,4,1,0.379501,1_62
63,real,699.3591945,236.9665154,33.48802051,4,1,0.377732,1_63
64,ones,739.7501555,236.9665154,46.53331415,4,1,0.400227,1_64
65,There,793.1864101,236.9665154,52.05477959,4,1,0.397914,1_65
66,was,852.1663048,236.9665154,34.7231435,4,1,0.412109,1_66
67,always,893.8145634,236.9665154,61.97346028,4,1,0.362132,1_67
68,something,19.63132,288.2295554,92.9468857,5,1,0.478549,1_68
69,about,119.3503163,288.2295554,49.60449072,5,1,0.35746,1_69
70,them,175.6825686,288.2295554,44.56199578,5,1,0.377732,1_70
71,that,227.0388496,288.2295554,33.47471578,5,1,0.458685,1_71
72,was,267.2413269,288.2295554,34.68544675,5,1,0.391474,1_72
73,not,308.6767097,288.2295554,28.54309363,5,1,0.471791,1_73
74,as,343.9475649,288.2295554,18.57784637,5,1,0.429569,1_74
75,it,369.2753473,288.2295554,12.41331869,5,1,0.362132,1_75
76,should,388.4164276,288.2295554,59.50321431,5,1,0.406712,1_76
77,be,454.6917525,288.2295554,26.65825603,5,1,0.379501,1_77
78,So,488.0777701,288.2295554,29.16398131,5,1,0.557868,1_78
79,he,523.9695129,288.2295554,21.06139709,5,1,0.346032,1_79
80,came,551.7808461,288.2295554,47.0455465,5,1,0.269161,1_80
81,home,605.5763287,288.2295554,49.57344634,5,1,0.391474,1_81
82,again,661.8997111,288.2295554,48.29619168,5,1,0.471791,1_82
83,and,716.9680134,288.2295554,32.20189603,5,1,0.405306,1_83
84,was,755.9420201,288.2295554,34.68544675,5,1,0.377732,1_84
85,sad,797.377403,288.2295554,35.33737882,5,1,0.447982,1_85
86,for,839.4425433,288.2295554,26.01519379,5,1,0.293469,1_86
87,he,872.1854986,288.2295554,21.06139709,5,1,0.362132,1_87
88,would,899.9968318,288.2295554,55.7690184,5,1,0.463175,1_88
89,have,19.63132,339.4925954,42.10061961,6,1,0.379501,1_89
90,liked,67.27336216,339.4925954,44.55977831,6,1,0.518413,1_90
91,very,117.3967376,339.4925954,39.61706889,6,1,0.361043,1_91
92,much,162.5774036,339.4925954,49.52909722,6,1,0.452336,1_92
93,to,217.6700979,339.4925954,17.33607101,6,1,0.351791,1_93
94,have,240.569766,339.4925954,42.10061961,6,1,0.377732,1_94
95,a,288.2118081,339.4925954,9.909810864,6,1,0.439546,1_95
96,real,303.6630416,339.4925954,33.43036665,6,1,0.379501,1_96
97,princess,342.6126562,339.4925954,78.90093957,6,1,0.36907,1_97
98,One,19.63132,390.7556354,37.20669422,7,1,0.383673,1_98
99,evening,65.00490459,390.7556354,70.65036561,7,1,0.391474,1_99
100,a,143.8443351,390.7556354,9.940855248,7,1,0.407755,1_100
101,terrible,161.9520808,390.7556354,64.44814117,7,1,0.383719,1_101
102,storm,234.5671123,390.7556354,50.81300423,7,1,0.383673,1_102
103,came,293.591356,390.7556354,47.08102579,7,1,0.398277,1_103
104,on,348.8392722,390.7556354,27.9599027,7,1,0.238549,1_104
105,there,384.9438907,390.7556354,44.62630199,7,1,0.419683,1_105
106,was,437.7370831,390.7556354,34.7231435,7,1,0.636145,1_106
107,thunder,480.6271169,390.7556354,68.21116401,7,1,0.398549,1_107
108,and,557.0051713,390.7556354,32.23959278,7,1,0.351474,1_108
109,lightning,597.433829,390.7556354,86.21468927,7,1,0.411655,1_109
110,and,691.7932341,390.7556354,32.23959278,7,1,0.418821,1_110
111,the,732.2218918,390.7556354,27.2946659,7,1,0.520454,1_111
